url,data,name
ed2k://|file|%E6%B5%B7%E6%BB%A9%E6%95%91%E6%8F%B4%E9%98%9F%E4%B9%8BS%E4%BA%BA%E6%B5%B7%E6%80%AA.HD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|1805368678|DB60887BA2A37F52FC3D45D7BD0134C0|h=PR26TZOJVZV4RJOYUOTA7DERAKTOA5NO|/,2015-11-02,2015爱情惊悚《海滩救援队之食人海怪》720p.HD国语中字
ed2k://|file|L%E5%85%8B%E7%8E%8B%E5%9B%BD4%EF%BC%9A%E5%87%BA%E5%8F%91%EF%BC%81%E5%B7%A8%E4%BA%BA%E8%B0%B7.HD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|1360698616|76150C1D2FC7E25DD2F209F8A8CD1C26|h=SNO4ELWALTU7YGIEXQ75HWSHQUTVRFUO|/,2015-11-04,2015动画《洛克王国4：出发！巨人谷》720p.HD国语中字
thunder://QUFlZDJrOi8vfGZpbGV8JUU3JUE3JUJCJUU1JThBJUE4JUU4JUJGJUI3JUU1JUFFJUFCMi4lRTklOUYlQTklRTclODklODguSEQxMjgwJUU4JUI2JTg1JUU2JUI4JTg1JUU0JUI4JUFEJUU4JThCJUIxJUU1JThGJThDJUU1JUFEJTk3Lm1wNHwyODk4MzgzMDM3fDRCRkY4RjhGOTRBREE2RTdDNjQ3RkU1QzdCNEYyRjdFfGg9M0RCNkdBNUZSSVhHV0VMTUJLRlVPSUU3M04yUVlIQ1F8L1pa,2015-11-03,2015动作科幻《移动迷宫2》720p.HD韩版中英双字
ed2k://|file|S%E7%94%9F%E7%81%B5.HD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E8%AF%AD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97.mp4|1436554942|AB45B9B84688094C8E8310A20567EFE8|h=37LEB6IFYAZD2CQVFNCIWUBNWEUWRS77|/,2015-11-04,2015恐怖惊悚《双生灵》720p.HD国语中字
ed2k://|file|%E5%A2%83%E7%95%8C%E7%9A%84%E5%BD%BC%E6%96%B9%E5%89%A7%E5%9C%BA%E7%89%88%E6%9C%AA%E6%9D%A5%E7%AF%87.720p.BD%E4%B8%AD%E5%AD%97%E3%80%906v%E7%94%B5%E5%BD%B1www.6vhao.net%E3%80%91.mkv|1610539663|385172366157E7B2CCD4D894F67F70C7|h=AHWCL3VQNTIX24O7SMNBFWWMPVNKRGWP|/,2015-10-18,2015动画《境界的彼方剧场版 未来篇》1080p.BD中字
ed2k://|file|%E5%90%B8%E8%A1%80%E9%AC%BC%E7%94%9F%E6%B4%BB.%E6%B8%AF%E7%89%88.BD1280%E8%B6%85%E6%B8%85%E7%B2%A4%E8%8B%B1%E5%8F%8C%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|1931327628|93AB7B1D91C91DDDBCA9A191063CB046|h=264PFOLGU3WYBMCZYGOU4TRRN2RIEYUL|/,2015-11-03,2015高分恐怖喜剧《吸血鬼生活》720p.BD中字
thunder://QUFmdHA6Ly9keWdvZDM6ZHlnb2QzQHkwNjkuZHlkeXR0Lm5ldDo0MzE2LyVFNiU4OCU5MSVFNiU5QyU4OSVFNyU4OCVCMSVFNCVCQSVCQSVFNCVCQSU4Ni9bJUU5JTk4JUIzJUU1JTg1JTg5JUU3JTk0JUI1JUU1JUJEJUIxLXd3dy55Z2R5OC5jb21dJUU2JTg4JTkxJUU2JTlDJTg5JUU3JTg4JUIxJUU0JUJBJUJBJUU0JUJBJTg2LTAxLm1rdlpa,2015-08-23,韩剧《我有爱人了》更新第20集
thunder://QUFmdHA6Ly9keWdvZDM6ZHlnb2QzQHkwNjkuZHlkeXR0Lm5ldDozMzE1LyVFNiU4QiU5QyVFNiU4OSU5OCVFNCVCQSU4NiVFNSVBNiU4OCVFNSVBNiU4OC9bJUU5JTk4JUIzJUU1JTg1JTg5JUU3JTk0JUI1JUU1JUJEJUIxLXd3dy55Z2R5OC5jb21dJUU2JThCJTlDJUU2JTg5JTk4JUU0JUJBJTg2JUU1JUE2JTg4JUU1JUE2JTg4MDEucm12Ylpa,2015-08-16,韩剧《拜托了，妈妈》更新第24集
thunder://QUFmdHA6Ly9keWdvZDM6ZHlnb2QzQHkwNjkuZHlkeXR0Lm5ldDoyMzIwLyVFNiU4OCU5MSVFNyU5QSU4NCVFNSVBNSVCMyVFNSU4NCVCRiVFNyU5MCVCNCVFNSU5QiU5QiVFNiU5QyU4OC9bJUU5JTk4JUIzJUU1JTg1JTg5JUU3JTk0JUI1JUU1JUJEJUIxLXd3dy55Z2R5OC5jb21dJUU2JTg4JTkxJUU3JTlBJTg0JUU1JUE1JUIzJUU1JTg0JUJGJUU3JTkwJUI0JUU1JTlCJTlCJUU2JTlDJTg4LTAxLnJtdmJaWg==,2015-09-06,韩剧《我的女儿琴四月》更新第18集
ed2k://|file|%E9%87%8D%E6%A1%88%E7%BB%84.Major.Crimes.S04E01.%E4%B8%AD%E8%8B%B1%E5%AD%97%E5%B9%95.HDTVrip.AAC.1024X576.mp4|419720107|bceb2310f4fc50a0546c36e87d3d2b9e|h=sz2jhgbtx6lvxcmddw7auaqvwctrg2jj|/,2012-08-16,美剧《重案组》第四季[更新高清11]
ed2k://|file|%E7%AC%AC34%E5%B1%8A%E9%A6%99%E6%B8%AF%E7%94%B5%E5%BD%B1%E9%87%91%E5%83%8F%E5%A5%96%E9%A2%81%E5%A5%96%E5%85%B8%E7%A4%BC.HD1280%E8%B6%85%E6%B8%85%E7%B2%A4%E8%AF%AD%E9%85%8D%E9%9F%B3.mp4|4052781477|CBF7F54F720179589227792BAC359557|h=GTPQQBDKSHDDK4VGTCPTI6IXI5DMS5ND|/,2015-04-21,第34届香港电影金像奖颁奖典礼
ed2k://|file|%E5%86%B0%E8%A1%80%E6%9A%B4.Fargo.S02E01.%E4%B8%AD%E8%8B%B1%E5%AD%97%E5%B9%95.HDTVrip.1024X576.mp4|469653857|16a363cdfa0e9402f3b799a8058f0deb|h=pkaxkmoh3dyknnh6kp5aij5shx23xu4c|/,2014-04-17,美剧《冰血暴》第二季[更新高清04]
ed2k://|file|%E4%BA%A7%E7%A7%91%E5%8C%BB%E9%B8%BF%E9%B8%9F.Kounodori.Ep01.Chi_Jap.HDTVrip.1280X720-ZhuixinFan.mp4|733851531|848102f54b6120897005e241e4100a27|h=n3neqibrtb2lefzascjceo2zet7hm62u|/,2015-10-21,日剧《产科医鸿鸟》更新第03集
ed2k://|file|%E6%AD%A6%E5%A3%AB%E8%80%81%E5%B8%88.Samurai.Sensei.Ep01.Chi_Jap.HDTVrip.852X480-ZhuixinFan.mp4|316691713|0719cf3a7bc2dd0a6b00144f53041768|h=fmcfqo52abgqemhg5uossvy3q4rqfk55|/,2015-10-24,日剧《武士老师》更新第02集
ed2k://|file|2015%E7%BE%8E%E5%9B%BD%E5%85%AC%E5%91%8A%E7%89%8C%E9%9F%B3%E4%B9%90%E5%A4%A7%E5%A5%96.The.2015.Billboard.Music.Awards.%E4%B8%AD%E8%8B%B1%E5%AD%97%E5%B9%95.HR-HDTV.AAC.1024x576.x264.mp4|1282493279|c1d258dfcad8043e575bc7e38a96e6e5|h=lsmdfohjgkxj6cozdjrx5i3wph7u3qvz|/,2015-05-22,《2015美国公告牌音乐大奖》HD中英双字1024高清
ftp://dy131.com:6vdy.com@ftp2.66e.cc:6527/【最新电影www.66e.cc】银翼杀手(终极剪辑版).720P.国英双语.BD中英双字.mkv,2010-04-11,IMDB经典TOP109《银翼杀手》720P.国英双语.BD中英双字高清MKV版
ed2k://|file|%E5%BE%B7%E4%BA%91%E7%A4%BE%E7%94%B2%E5%8D%88%E5%B0%81%E7%AE%B1%E6%BC%94%E5%87%BA2015%E5%85%A8%E5%9C%BA.HD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E8%AF%AD%E9%85%8D%E9%9F%B3.mp4|5151489753|F69CB4BD8AB0FDB107568D7D5398A95B|h=4UXG34626QKIGLRAE27GJ2DMRTECC4AG|/,2015-02-20,德云社甲午封箱演出2015全场
ed2k://|file|2015%E5%A4%AE%E8%A7%86%E6%98%A5%E8%8A%82%E8%81%94%E6%AC%A2%E6%99%9A%E4%BC%9A.HD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|6956297239|AB256ABD103BE9199AF65FB71F2CDAC7|h=NY2XIHDGPBBHLZUBLDSY3ZPB2SMHNC6Z|/,2015-02-22,2015央视春节联欢晚会
ftp://dy131.com:6vdy.com@ftp2.66e.cc:6527/【6v电影www.6vdy.com】西部往事BD中英双字1024高清.mkv,2011-07-15,IMDB经典TOP023《西部往事》BD中英双字1024/1280高清MKV版
ed2k://|file|%E5%BC%A0%E6%95%AC%E8%BD%A9%E6%BC%94%E5%94%B1%E4%BC%9A2014.BD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E7%B2%A4%E5%8F%8C%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|3933856525|646084C791408C899C448D876616A1A4|h=NJ6DG4YKVQYJGUSHQYGENP25MUII3NZF|/,2015-02-18,《张敬轩2014演唱会》720p.BD中字
ftp://dy131.com:6vdy.com@ftp1.66e.cc:2626/【6v电影www.6vdy.com】鳄鱼邓迪2.BD国语配音中字1024高清.rmvb,2008-03-15,经典动作喜剧《鳄鱼邓迪2》BD国语配音中字1024高清
ftp://dy131.com:6vdy.com@ftp1.66e.cc:2622/【6v电影www.6vdy.com】开心鬼上身BD国语配音中字1024高清.rmvb,2014-04-12,车太贤经典喜剧《开心鬼上身》BD国语配音中字1024高清
http://6.66ys.cc:888/2/无主之地年度完美中文版.torrent,2011-04-16,[GBT无主之地年度版][简体中文]
ed2k://|file|%E7%BA%A2%E8%89%B2%E5%B0%8F%E6%8F%90%E7%90%B4.720p.BD%E4%B8%AD%E5%AD%97%E3%80%906v%E7%94%B5%E5%BD%B1www.6vhao.net%E3%80%91.mp4|1689450817|59B35364171E584F401D70C168FF18EB|h=FFKFMG5IZTU73ICJVLF53RW7JKR52H4N|/,2015-09-22,经典高分剧情《红色小提琴》720p.BD中字
http://6.66ys.cc:888/2/三国无双4Specialv1.0繁体中文硬盘版.torrent,2011-08-27,真·三国无双4[中文硬盘版]
ed2k://|file|%E7%94%B5%E5%BD%B1%E6%82%B2%E6%AC%A2%E6%9B%B2.720p.BD%E4%B8%AD%E5%AD%97%E3%80%906v%E7%94%B5%E5%BD%B1www.6vhao.net%E3%80%91.mp4|1269113441|C4393E3A72D40D1E4C645B9D99464A23|h=EZSOKWJWPFF7FHPO4AOIOHPZ4QBG7EOC|/,2015-09-18,经典喜剧《电影悲欢曲》720p.BD中字
ed2k://|file|%E8%AF%A5%E6%AD%BB%E7%9A%84%E6%AD%8C%E5%BE%B7.720p.BD%E4%B8%AD%E5%AD%97%E3%80%906v%E7%94%B5%E5%BD%B1www.6vhao.net%E3%80%91.mp4|1521088358|CFDD6ADA1E5F532CE39302F7C9FE3BAD|h=2RQOPIUZGPTXESY5ADHBSJMHGWIXIJVE|/,2015-09-22,高分喜剧《该死的歌德》720p.BD中字
ed2k://|file|%E6%88%91%E7%9A%84%E6%9C%BA%E5%99%A8%E4%BA%BA%E5%A5%B3%E5%8F%8B.720p.%E5%9B%BD%E6%97%A5%E5%8F%8C%E8%AF%AD.BD%E4%B8%AD%E5%AD%97%E3%80%906v%E7%94%B5%E5%BD%B1www.6vhao.net%E3%80%91.mkv|1721567834|8EB27F23439CB35F062E8246AC8BE76E|h=GH5QEAYTYYWOCBFLODVW7K6RNQLKJYF2|/,2009-11-04,经典科幻爱情《我的女友是机器人》720p.国日双语.BD中字
ed2k://|file|%E4%B9%9D%E5%93%81%E8%8A%9D%E9%BA%BB%E5%AE%98.BD1280%E8%B6%85%E6%B8%85%E5%9B%BD%E7%B2%A4%E5%8F%8C%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4|2705916953|24FB09C55FEF2A272ACA930B793CAC79|h=CHC737BB24ABBELLJTVWUUCGSOJLHZD7|/,2011-06-20,周星驰经典喜剧《九品芝麻官》720p.国粤双语.BD中字
ed2k://|file|%E6%97%A9%E5%AE%89.720p.BD%E4%B8%AD%E5%AD%97%E3%80%906v%E7%94%B5%E5%BD%B1www.6vhao.net%E3%80%91.mp4|1300231064|5454F290170BE55C859804C4F3492882|h=WJQUXBB4BG7TMSO5MVSRO7T3AMAOKFZZ|/,2015-08-22,经典高分喜剧《早安/早上好》720p.BD中字
ed2k://|file|%E4%BA%BA%E6%83%85%E4%B8%96%E6%95%85BD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%971280%E9%AB%98%E6%B8%85%E3%80%906v%E7%94%B5%E5%BD%B1www.6vhao.net%E3%80%91.rmvb|841811119|AC234C977364EDE187F644C2DDD726C7|h=DG4ZWLW5IGJBRB67XPIV62DID3OC464V|/,2015-08-20,2015高分剧情《人情世故》BD中英双字1280高清
ed2k://|file|%E5%BD%BC%E5%B2%B8%E8%8A%B1.720p.BD%E4%B8%AD%E5%AD%97%E3%80%906v%E7%94%B5%E5%BD%B1www.6vhao.net%E3%80%91.mp4|1627940602|1AAC2998F05F3861E0BEFDE6F7D90327|h=GLMNP7VIXPUUGXVQKCJFBFA4RGH72MUH|/,2015-08-22,经典剧情《彼岸花》720p.BD中字
ed2k://|file|%E6%92%92%E8%B0%8E%E5%A4%A7%E5%B8%88.720p.HD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E3%80%906v%E7%94%B5%E5%BD%B1www.6vhao.net%E3%80%91.mkv|1069835295|FDD800D01131A64289
